,ID,Priority,Family_type,First_stage,Start_time_S1,Finish_time_S1,Processing_Time_S1,Second_stage,Start_time_S2,Finish_Time_S2,Processing_Time_S2,Third_stage,Start_time_S3,Finish_time_S3,Processing_Time_S3,Fourth_stage,Start_time_s4,Finish_time,Processing_Time_S4,Overall_processing_time,Overall_waiting_time,Tardiness,BREAKS
39,32,6,29,SMD_3,172,1056,884,AOI_1,1056,1944,888,0,0,0,0,CC_0,1944,2243,299,2071,172,0,0
40,90,6,28,SMD_2,928,982,54,AOI_3,982,1033,51,SS_0,1033,1077,44,CC_1,1077,1125,48,197,928,0,0
41,95,6,27,SMD_2,7336,7451,115,AOI_4,7456,7517,61,SS_2,7679,7812,133,CC_1,7835,7889,54,363,7526,0,0
42,96,6,29,SMD_3,1056,1735,679,AOI_3,1735,1820,85,SS_1,1820,2100,280,CC_1,2191,2398,207,1251,1147,0,0
43,103,6,35,SMD_0,6506,6795,289,AOI_0,6944,7229,285,SS_2,7229,7679,450,CC_0,7679,7732,53,1077,6655,0,0
44,35,7,35,SMD_0,6795,7156,361,AOI_0,7229,7449,220,SS_1,7449,7664,215,0,0,0,0,796,6868,0,0
45,61,7,13,SMD_1,3055,3926,871,AOI_0,3926,4794,868,SS_4,4794,5579,785,CC_0,5579,6231,652,3176,3055,0,0
46,74,7,26,SMD_0,7349,8377,1028,AOI_2,8377,9249,872,SS_0,9249,10208,959,0,0,0,0,2859,7349,0,1
47,105,7,9,SMD_1,7698,8493,795,AOI_4,8508,8960,452,0,0,0,0,0,0,0,0,1247,7713,0,0
48,128,7,20,SMD_4,189,838,649,AOI_1,838,1006,168,SS_2,1006,1138,132,CC_1,1138,1355,217,1166,189,0,0
49,130,7,33,SMD_0,1405,1699,294,AOI_0,1699,1891,192,SS_2,1891,2011,120,CC_1,2051,2191,140,746,1445,0,0
50,146,7,7,SMD_4,8407,8587,180,AOI_1,8671,9097,426,SS_3,9097,9224,127,CC_1,9224,9431,207,940,8491,0,0
51,152,7,12,SMD_3,7725,8687,962,AOI_3,8710,9635,925,SS_1,9635,10567,932,CC_1,10567,10860,293,3112,7748,420,1
52,21,8,6,SMD_0,8942,9104,162,AOI_0,9104,9272,168,0,0,0,0,CC_0,9634,9693,59,389,9304,0,0
53,30,8,26,SMD_0,8377,8550,173,AOI_0,8678,8882,204,SS_3,8882,9084,202,CC_0,9186,9246,60,639,8607,0,0
54,33,8,6,SMD_0,9104,9455,351,AOI_2,9455,9904,449,SS_2,9904,10095,191,CC_1,10095,10137,42,1033,9104,0,1
55,41,8,36,SMD_1,6414,6517,103,AOI_2,6517,6575,58,SS_0,6575,6670,95,CC_1,6792,6930,138,394,6536,0,0
56,120,8,4,SMD_4,9613,9935,322,AOI_0,9938,10006,68,SS_2,10182,10435,253,0,0,0,0,643,9792,0,1
57,122,8,31,SMD_3,6976,7725,749,AOI_1,7725,8311,586,SS_0,8311,9127,816,CC_0,9246,9634,388,2539,7095,0,1
58,133,8,24,SMD_4,7492,8407,915,AOI_3,8407,8710,303,SS_4,8710,9052,342,CC_0,9052,9186,134,1694,7492,0,0
59,158,8,15,SMD_3,6601,6726,125,AOI_0,6747,6944,197,0,0,0,0,CC_0,6944,7013,69,391,6622,0,0
60,160,8,6,SMD_0,9455,9863,408,AOI_2,9904,10080,176,SS_2,10095,10182,87,0,0,0,0,671,9511,0,1
61,3,9,39,SMD_4,3502,4503,1001,AOI_3,4542,5372,830,0,0,0,0,0,0,0,0,1831,3541,0,0
62,14,9,35,SMD_0,7156,7349,193,AOI_0,7449,7517,68,SS_1,7793,8101,308,0,0,0,0,569,7532,0,0
63,18,9,22,SMD_2,5690,6613,923,AOI_4,6613,7456,843,SS_4,7456,8070,614,CC_1,8238,8531,293,2673,5858,0,0
64,34,9,13,SMD_1,3926,4002,76,AOI_1,4522,4568,46,SS_4,4568,4645,77,CC_0,4768,4808,40,239,4569,0,0
65,36,9,11,SMD_0,5047,5618,571,AOI_3,5618,6006,388,0,0,0,0,CC_1,6215,6262,47,1006,5256,0,0
66,44,9,1,SMD_3,4910,5889,979,AOI_3,6006,6992,986,SS_0,6992,7346,354,CC_1,7441,7624,183,2502,5122,0,0
67,53,9,4,SMD_4,9935,10025,90,AOI_0,10025,10243,218,0,0,0,0,CC_1,10243,10399,156,464,9935,0,0
68,62,9,33,SMD_0,1699,2651,952,AOI_1,2651,3601,950,SS_0,3601,4340,739,CC_0,4340,4768,428,3069,1699,0,0
69,85,9,19,SMD_0,9863,10803,940,AOI_3,10803,11820,1017,SS_0,11838,12509,671,0,0,0,0,2628,9881,0,0
70,89,9,8,SMD_1,11413,11506,93,AOI_1,11506,11558,52,SS_0,11774,11838,64,CC_1,11838,11886,48,257,11629,0,0
71,97,9,27,SMD_2,7451,8320,869,AOI_1,8320,8671,351,SS_2,8671,9669,998,CC_0,9693,9932,239,2457,7475,0,1
72,99,9,2,SMD_4,5754,5817,63,AOI_0,5817,6061,244,SS_0,6061,6263,202,0,0,0,0,509,5754,0,0
73,119,9,26,SMD_0,8550,8903,353,AOI_0,8925,9102,177,SS_4,9102,9408,306,CC_1,9431,9591,160,996,8595,0,0
74,129,9,39,SMD_4,4503,4608,105,AOI_4,4650,4718,68,SS_4,4718,4770,52,CC_1,5675,5721,46,271,5450,0,0
75,150,9,22,SMD_2,6613,7336,723,AOI_2,7442,8018,576,SS_3,8023,8712,689,CC_1,8951,9101,150,2138,6963,0,0
76,20,10,20,SMD_4,838,882,44,AOI_3,882,939,57,0,0,0,0,CC_0,939,989,50,151,838,0,0
77,26,10,25,SMD_0,11658,11911,253,AOI_2,11911,12647,736,SS_2,12647,12832,185,CC_1,12832,12997,165,1339,11658,0,0
78,43,10,16,SMD_1,4723,5597,874,AOI_2,5597,6034,437,SS_1,6034,6123,89,CC_1,6405,6650,245,1645,5005,0,0
79,52,10,33,SMD_0,2651,3540,889,AOI_3,3540,4369,829,SS_0,4369,5016,647,CC_1,6930,7240,310,2675,4565,0,0
80,71,10,27,SMD_2,8320,9324,1004,AOI_0,9324,9938,614,SS_4,9938,10750,812,0,0,0,0,2430,8320,0,2
81,109,10,37,SMD_1,475,1159,684,AOI_3,1159,1282,123,SS_1,1282,1661,379,CC_0,1776,1872,96,1282,590,0,0
82,111,10,28,SMD_2,982,1259,277,AOI_0,1259,1490,231,SS_2,1490,1609,119,CC_1,1609,1682,73,700,982,0,0
83,113,10,3,SMD_2,3935,4330,395,AOI_1,4568,4753,185,0,0,0,0,0,0,0,0,580,4173,0,0
84,121,10,3,SMD_2,4330,4394,64,AOI_2,4716,4952,236,SS_0,5016,5122,106,CC_1,5721,5891,170,576,5315,0,0
85,69,11,9,SMD_1,8493,9214,721,AOI_1,9214,9910,696,SS_3,9910,10693,783,CC_1,10912,11115,203,2403,8712,0,1
86,4,11,11,SMD_0,5618,6506,888,AOI_1,6506,7512,1006,SS_3,7512,8023,511,CC_1,8032,8238,206,2611,5627,0,0
87,25,11,24,SMD_1,12325,12483,158,AOI_0,12483,13060,577,0,0,0,0,CC_0,13060,13128,68,803,12325,0,0
88,31,11,11,SMD_3,10676,10775,99,AOI_1,10775,10824,49,0,0,0,0,CC_1,10860,10912,52,200,10712,0,0
89,51,11,32,SMD_2,2420,2853,433,AOI_2,2853,3419,566,SS_2,3419,3963,544,0,0,0,0,1543,2420,0,0
90,70,11,36,SMD_1,6517,6647,130,AOI_0,6647,6747,100,SS_0,6747,6928,181,0,0,0,0,411,6517,0,0
91,101,11,16,SMD_1,5597,5953,356,AOI_2,6034,6128,94,SS_1,6128,6436,308,0,0,0,0,758,5678,0,0
92,112,11,33,SMD_0,3540,3590,50,AOI_4,3590,3638,48,SS_3,3638,3715,77,CC_1,3792,3934,142,317,3617,0,0
93,117,11,31,SMD_3,11793,12486,693,AOI_4,12486,12590,104,SS_0,12590,12767,177,CC_0,12767,12835,68,1042,11793,0,0
94,135,11,19,SMD_0,10803,11658,855,AOI_4,11658,11950,292,0,0,0,0,CC_0,11950,12072,122,1269,10803,0,0
95,147,11,9,SMD_1,9214,9465,251,AOI_4,9465,10592,1127,SS_1,10592,10919,327,0,0,0,0,1705,9214,0,1
96,59,12,27,SMD_2,9324,10419,1095,AOI_0,10419,11246,827,SS_1,11246,12019,773,CC_0,12072,12464,392,3087,9377,0,1
97,42,12,20,SMD_3,2811,3537,726,AOI_2,3537,4442,905,SS_1,4442,5099,657,CC_0,5188,5235,47,2335,2900,0,0
98,45,12,35,SMD_1,12697,13011,314,AOI_4,13050,13214,164,SS_1,13214,13870,656,CC_0,13870,14033,163,1297,12736,0,0
99,104,12,18,SMD_4,10203,10609,406,AOI_1,10609,10754,145,SS_3,10754,11090,336,CC_0,11090,11148,58,945,10203,0,0
100,114,12,5,SMD_2,10419,11373,954,AOI_0,11373,12394,1021,SS_1,12394,13118,724,CC_1,13118,13745,627,3326,10419,0,0
101,22,13,24,SMD_1,12483,12605,122,AOI_4,12605,12770,165,SS_0,12770,13312,542,CC_0,13312,13431,119,948,12483,0,0
102,47,13,7,SMD_4,8587,8679,92,AOI_0,8882,8925,43,0,0,0,0,0,0,0,0,135,8790,0,0
103,56,13,1,SMD_3,5889,6009,120,AOI_0,6061,6185,124,SS_3,6185,6244,59,CC_1,6262,6405,143,446,5959,0,0
104,58,13,14,SMD_1,2691,2869,178,AOI_4,2946,2992,46,SS_1,2992,3158,166,CC_1,3158,3310,152,542,2768,0,0
105,92,13,35,SMD_1,13011,13244,233,AOI_4,13244,13507,263,SS_2,13703,13814,111,0,0,0,0,607,13207,0,0
106,141,13,40,SMD_0,13073,13722,649,AOI_1,13722,13984,262,0,0,0,0,0,0,0,0,911,13073,0,0
107,149,13,11,SMD_3,10775,10957,182,AOI_1,10957,11102,145,SS_0,11102,11774,672,CC_0,11774,11816,42,1041,10775,0,0
108,91,14,6,SMD_1,13889,14338,449,AOI_0,14469,15255,786,SS_0,15255,15831,576,CC_1,15921,16073,152,1963,14110,0,0
109,2,14,5,SMD_2,11373,12223,850,AOI_1,12223,13102,879,SS_3,13102,13770,668,CC_1,13794,14134,340,2737,11397,0,0
110,10,14,36,SMD_1,6647,6802,155,AOI_3,6992,7074,82,SS_1,7074,7420,346,CC_1,7624,7835,211,794,7041,0,0
111,11,14,21,SMD_2,12826,13763,937,AOI_2,13763,14510,747,SS_4,14510,15141,631,CC_0,15237,15391,154,2469,12922,0,0
112,27,14,40,SMD_0,13722,13870,148,AOI_1,13984,14040,56,SS_1,14040,14227,187,0,0,0,0,391,13836,0,0
113,39,14,32,SMD_2,2853,3693,840,AOI_4,3693,4650,957,SS_2,4650,5012,362,CC_0,5012,5188,176,2335,2853,0,0
114,48,14,16,SMD_1,5953,6061,108,AOI_4,6070,6234,164,SS_3,6244,6420,176,0,0,0,0,448,5972,0,0
115,60,14,6,SMD_1,13244,13889,645,AOI_4,13954,14900,946,SS_1,14900,15696,796,CC_1,16073,16488,415,2802,13686,0,0
116,64,14,1,SMD_3,6009,6601,592,AOI_2,6601,7442,841,SS_0,7442,8169,727,0,0,0,0,2160,6009,0,0
117,102,14,18,SMD_4,10609,11597,988,AOI_1,11597,11792,195,SS_3,11982,12652,670,0,0,0,0,1853,10799,0,0
118,148,14,9,SMD_1,9465,10422,957,AOI_2,10422,11433,1011,SS_4,11433,12244,811,0,0,0,0,2779,9465,0,1
119,9,15,25,SMD_0,11911,12610,699,AOI_2,12647,13511,864,SS_4,13717,14480,763,CC_1,14590,15219,629,2955,12264,0,0
120,65,15,7,SMD_4,8679,9613,934,AOI_3,9635,10724,1089,SS_2,10724,11489,765,CC_1,11489,11696,207,2995,8701,0,1
121,88,15,15,SMD_3,6726,6792,66,AOI_3,7074,7129,55,SS_2,7129,7217,88,0,0,0,0,209,7008,0,0
122,127,15,30,SMD_3,13405,13777,372,AOI_3,13777,14705,928,0,0,0,0,CC_0,15391,15475,84,1384,14091,0,0
123,132,15,8,SMD_1,11506,12325,819,AOI_3,12325,13333,1008,SS_0,13333,14072,739,CC_1,14134,14590,456,3022,11568,0,0
124,139,15,9,SMD_1,10422,11413,991,AOI_1,11413,11470,57,SS_2,11489,12287,798,CC_1,12287,12571,284,2130,10441,0,0
125,151,15,18,SMD_4,11597,11647,50,AOI_2,11647,11688,41,SS_1,12019,12069,50,CC_1,12069,12212,143,284,11928,0,0
126,159,15,12,SMD_3,8687,9837,1150,AOI_1,9910,10585,675,SS_0,10585,10971,386,0,0,0,0,2211,8760,0,1
127,38,16,6,SMD_1,14338,14600,262,AOI_1,14600,15081,481,SS_0,15081,15192,111,CC_1,15292,15374,82,936,14438,0,0
128,40,16,24,SMD_1,12605,12697,92,AOI_0,13060,13122,62,SS_1,13122,13183,61,CC_1,13745,13794,49,264,13530,0,0
129,63,16,20,SMD_3,3537,3743,206,AOI_1,3743,4409,666,0,0,0,0,0,0,0,0,872,3537,0,0
130,73,16,29,SMD_3,1735,1835,100,AOI_3,1835,1895,60,SS_4,1895,2050,155,0,0,0,0,315,1735,0,0
131,77,16,26,SMD_0,8903,8942,39,AOI_4,8960,9009,49,SS_4,9052,9094,42,CC_1,9101,9148,47,177,8971,0,0
132,79,16,18,SMD_4,11647,12605,958,AOI_4,12770,13050,280,SS_2,13050,13703,653,CC_1,15374,15518,144,2035,13483,0,0
133,100,16,18,SMD_4,12605,13512,907,AOI_0,13512,14469,957,SS_1,14469,14839,370,CC_1,15219,15292,73,2307,12985,0,0
134,24,17,15,SMD_3,6792,6924,132,AOI_3,7324,7529,205,SS_2,7812,8029,217,CC_0,8029,8069,40,594,7475,0,0
135,28,17,17,SMD_4,13512,14193,681,AOI_1,14312,14473,161,SS_3,14473,14891,418,0,0,0,0,1260,13631,0,0
136,46,17,20,SMD_3,3743,4130,387,AOI_4,4718,4927,209,SS_1,5099,5441,342,CC_1,7240,7340,100,1038,6302,0,0
137,50,17,30,SMD_3,13777,14032,255,AOI_1,14040,14312,272,SS_0,14312,15059,747,0,0,0,0,1274,13785,0,0
138,67,17,16,SMD_1,6061,6325,264,AOI_0,6325,6628,303,0,0,0,0,CC_0,6628,6718,90,657,6061,0,0
139,68,17,5,SMD_2,12223,12826,603,AOI_1,13102,13361,259,SS_4,13361,13717,356,CC_1,15656,15921,265,1483,14438,0,0
140,108,17,13,SMD_1,4002,4114,112,AOI_0,4850,4909,59,SS_3,5017,5116,99,0,0,0,0,270,4846,0,0
141,123,17,25,SMD_0,12610,13073,463,AOI_0,13122,13428,306,SS_3,13770,14097,327,0,0,0,0,1096,13001,0,0
142,134,17,3,SMD_2,4394,4987,593,AOI_1,4987,5223,236,SS_2,5312,5799,487,CC_0,6231,6355,124,1440,4915,0,0
143,136,17,17,SMD_4,14193,14262,69,AOI_1,14473,14531,58,SS_2,14631,14677,46,CC_1,15518,15656,138,311,15345,0,0
144,143,17,17,SMD_4,14262,14324,62,AOI_2,14510,14561,51,SS_2,14588,14631,43,CC_0,15475,15525,50,206,15319,0,0
145,82,18,13,SMD_1,4114,4390,276,AOI_1,4860,4958,98,SS_3,5116,5892,776,CC_1,8531,8710,179,1329,7381,0,0
146,124,18,21,SMD_2,13763,13826,63,AOI_4,13826,13954,128,SS_1,13954,14009,55,CC_1,16488,16640,152,398,16242,0,0
147,126,18,6,SMD_1,14600,15272,672,AOI_0,15272,16157,885,SS_0,16157,16888,731,CC_1,16888,17157,269,2557,14600,0,0
148,138,18,12,SMD_3,9837,10676,839,AOI_4,10676,11270,594,SS_3,11270,11982,712,CC_1,11982,12051,69,2214,9837,0,0
149,142,18,33,SMD_0,3590,3684,94,AOI_1,3684,3737,53,SS_3,3737,3857,120,CC_1,3934,3976,42,309,3667,0,0
150,153,18,3,SMD_2,4987,5429,442,AOI_1,5429,5638,209,SS_0,5638,6053,415,CC_1,7340,7441,101,1167,6274,0,0
151,156,18,15,SMD_3,6924,6976,52,AOI_0,7517,7572,55,SS_2,8029,8079,50,0,0,0,0,157,7922,0,0
152,157,18,20,SMD_0,13870,14017,147,AOI_1,14531,14598,67,SS_2,14677,14844,167,0,0,0,0,381,14463,0,0
153,8,19,36,SMD_1,6802,7698,896,AOI_0,7698,8678,980,0,0,0,0,CC_1,8710,8951,241,2117,6834,0,0
154,57,19,28,SMD_2,1259,1425,166,AOI_4,1425,1518,93,SS_4,1518,1608,90,0,0,0,0,349,1259,0,0
155,72,19,20,SMD_0,14017,14114,97,AOI_2,14561,14629,68,SS_1,14839,14894,55,CC_1,16640,16689,49,269,16420,0,0
156,76,19,2,SMD_4,5817,6730,913,AOI_4,7517,8508,991,SS_1,8508,9317,809,0,0,0,0,2713,6604,0,0
157,83,19,4,SMD_4,10025,10203,178,AOI_2,10203,10283,80,0,0,0,0,CC_1,10399,10567,168,426,10141,0,0
158,140,19,31,SMD_3,12486,13405,919,AOI_1,13405,13646,241,SS_2,13814,14588,774,CC_0,14588,15237,649,2583,12654,0,0
159,155,19,11,SMD_3,10957,11793,836,AOI_1,11793,12049,256,0,0,0,0,0,0,0,0,1092,10957,0,0
0,12,1,34,SMD_0,0,402,402,AOI_2,402,781,379,0,0,0,0,CC_1,781,979,198,979,0,0,0
1,23,1,37,SMD_1,0,354,354,AOI_0,354,441,87,SS_0,441,592,151,CC_1,592,696,104,696,0,0,0
2,131,1,29,SMD_3,0,37,37,AOI_0,37,90,53,SS_0,90,138,48,0,0,0,0,138,0,0,0
3,29,1,18,SMD_0,402,1155,753,AOI_2,1155,1457,302,SS_2,1457,2127,670,CC_0,2243,2441,198,1923,518,0,0
4,75,1,20,SMD_4,0,189,189,AOI_1,189,766,577,SS_0,766,1021,255,0,0,0,0,1021,0,0,0
5,78,1,29,SMD_3,37,172,135,AOI_0,172,230,58,SS_0,230,339,109,0,0,0,0,302,37,0,0
6,81,1,28,SMD_2,0,723,723,AOI_0,723,1170,447,SS_0,1170,1600,430,CC_0,1600,1776,176,1776,0,0,0
7,6,2,21,SMD_0,1478,1808,330,AOI_2,1808,2134,326,SS_0,2134,2391,257,CC_0,2441,2485,44,957,1528,0,0
8,49,2,39,SMD_0,1808,2326,518,AOI_0,2326,2418,92,SS_0,2418,2541,123,CC_0,2552,2628,76,809,1819,0,0
9,66,2,19,SMD_2,1675,1936,261,AOI_0,1936,2224,288,SS_2,2224,2381,157,CC_1,2381,2608,227,933,1675,0,0
10,84,2,33,SMD_2,1425,1533,108,AOI_0,1533,1628,95,SS_0,1628,1758,130,0,0,0,0,333,1425,0,0
11,93,2,28,SMD_2,723,881,158,AOI_2,881,1058,177,SS_3,1058,1153,95,CC_0,1153,1203,50,480,723,0,0
12,115,2,38,SMD_4,2080,2222,142,AOI_0,2224,2265,41,0,0,0,0,CC_1,2265,2320,55,238,2082,0,0
13,125,2,31,SMD_4,984,1983,999,AOI_1,1983,2826,843,0,0,0,0,0,0,0,0,1842,984,0,0
14,154,2,39,SMD_0,1155,1478,323,AOI_2,1478,1736,258,SS_1,1736,2064,328,0,0,0,0,909,1155,0,0
15,37,3,14,SMD_1,1159,1654,495,AOI_0,1654,1909,255,SS_3,1909,2115,206,CC_0,2485,2552,67,1023,1529,0,0
16,98,3,3,SMD_3,3324,3566,242,AOI_0,3587,3760,173,0,0,0,0,CC_1,3760,3914,154,569,3345,0,0
17,110,3,13,SMD_4,2222,2336,114,AOI_3,2336,2379,43,SS_1,2379,2427,48,CC_1,2608,2654,46,251,2403,0,0
18,118,3,32,SMD_3,1056,2051,995,AOI_4,2051,2959,908,SS_0,2959,3780,821,CC_1,3914,4721,807,3531,1190,0,0
19,13,4,20,SMD_3,3961,4937,976,AOI_3,4968,5311,343,SS_0,5311,5755,444,CC_1,5834,6028,194,1957,4071,0,0
20,15,4,33,SMD_2,1533,1675,142,AOI_3,1675,1715,40,0,0,0,0,CC_1,1715,1771,56,238,1533,0,0
21,55,4,16,SMD_4,3743,4076,333,AOI_0,4111,4218,107,SS_1,4218,4518,300,CC_1,4864,5043,179,919,4124,0,0
22,86,4,1,SMD_4,1983,2080,97,AOI_3,2135,2248,113,SS_3,2248,2311,63,0,0,0,0,273,2038,0,0
23,87,4,28,SMD_2,881,928,47,AOI_4,928,1003,75,SS_1,1003,1095,92,0,0,0,0,214,881,0,0
24,107,4,39,SMD_0,2326,3151,825,AOI_0,3151,3541,390,SS_2,3541,4228,687,0,0,0,0,1902,2326,0,0
25,116,4,5,SMD_1,1832,2073,241,AOI_2,2134,2440,306,SS_1,2440,2594,154,CC_1,2654,2702,48,749,1953,0,0
26,137,4,30,SMD_2,3749,3903,154,AOI_1,3911,3967,56,SS_1,3967,4046,79,CC_1,4721,4864,143,432,4432,0,0
27,145,4,13,SMD_4,2336,2408,72,AOI_3,2408,2462,54,SS_2,2462,2545,83,0,0,0,0,209,2336,0,0
28,5,5,2,SMD_2,4485,4604,119,AOI_4,4757,5214,457,SS_0,5214,5294,80,CC_0,5584,5638,54,710,4928,0,0
29,7,5,11,SMD_0,4674,5620,946,AOI_0,5620,5777,157,SS_0,5777,6049,272,CC_1,6075,6248,173,1548,4700,0,0
30,17,5,11,SMD_0,4257,4674,417,AOI_3,4694,4968,274,SS_1,4968,5190,222,CC_1,5621,5691,70,983,4708,0,0
31,54,5,10,SMD_3,4937,5810,873,AOI_0,5810,6245,435,SS_3,6245,7019,774,0,0,0,0,2082,4937,0,0
32,80,5,23,SMD_2,5580,5970,390,AOI_4,5970,6165,195,SS_2,6165,6330,165,CC_0,6330,6455,125,875,5580,0,0
33,94,5,19,SMD_2,1936,1999,63,AOI_3,1999,2135,136,SS_1,2135,2335,200,0,0,0,0,399,1936,0,0
34,106,5,37,SMD_1,354,475,121,AOI_0,475,525,50,0,0,0,0,CC_0,525,553,28,199,354,0,0
35,144,5,22,SMD_4,5306,5567,261,AOI_0,5567,5614,47,SS_1,5614,5705,91,CC_0,5814,5903,89,488,5415,0,0
36,1,6,36,SMD_3,5810,5899,89,AOI_4,5899,5940,41,SS_1,5940,6004,64,CC_1,6028,6075,47,241,5834,0,0
37,16,6,24,SMD_1,4435,4807,372,AOI_2,4882,4983,101,SS_2,5021,5150,129,CC_1,5691,5834,143,745,5089,0,0
38,19,6,1,SMD_1,5835,6563,728,AOI_2,6563,7440,877,0,0,0,0,CC_1,7441,7765,324,1929,5836,0,0
